Pos,MP,FG%,3P%,2P%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
PG,18.2,0.43700000000000006,0.353,0.48,0.905,0.1,1.6,1.8,2.4,0.3,0.1,1.4,1.5,8.2
PF,5.9,0.455,0.0,0.556,0.5,0.7,1.0,1.7,0.4,0.1,0.1,0.7,1.0,1.6
C,29.3,0.521,0.5,0.521,0.59,2.3,5.8,8.1,1.8,1.8,1.5,2.4,2.9,11.1
SF,3.0,0.75,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,3.0
C,20.7,0.506,0.0,0.507,0.7120000000000001,2.1,4.0,6.2,1.2,0.5,0.5,1.3,2.1,8.8
SG,24.4,0.374,0.295,0.447,0.784,0.6,3.2,3.8,1.7,1.0,0.4,1.1,2.2,5.8
C,21.0,0.5760000000000001,0.47600000000000003,0.579,0.797,3.0,5.1,8.1,0.4,0.3,0.4,1.4,2.0,12.7
SG,33.0,0.43799999999999994,0.348,0.475,0.83,0.7,4.1,4.8,3.9,1.6,0.8,2.1,2.4,16.0
PG,28.2,0.41,0.35100000000000003,0.447,0.737,0.6,2.8,3.4,3.3,1.2,0.2,2.5,1.8,13.2
SG,33.4,0.44299999999999995,0.382,0.469,0.84,0.3,3.4,3.7,2.0,0.4,0.1,1.2,2.0,12.8
SF,28.6,0.42200000000000004,0.276,0.47100000000000003,0.684,1.0,4.1,5.2,1.5,0.9,0.3,1.2,2.4,6.4
PF,32.4,0.455,0.344,0.513,0.755,1.5,4.5,6.0,1.9,1.0,0.4,1.1,1.6,12.3
C,34.6,0.451,0.33299999999999996,0.473,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9
PF,7.8,0.451,0.667,0.441,0.585,0.9,1.1,2.0,0.2,0.3,0.2,0.3,1.3,2.4
C,25.2,0.488,0.0,0.49,0.7020000000000001,1.9,5.4,7.3,2.7,0.8,1.3,1.5,2.0,8.6
PF,18.7,0.48100000000000004,0.382,0.511,0.762,1.1,4.4,5.6,1.1,0.6,0.4,1.1,1.9,8.5
SG,19.6,0.45299999999999996,0.391,0.496,0.813,0.4,2.1,2.5,3.1,1.1,0.2,1.7,1.7,9.6
SF,34.8,0.418,0.371,0.447,0.86,1.0,6.0,7.0,4.1,1.9,0.4,3.3,2.8,23.1
PF,14.1,0.466,0.0,0.474,0.726,1.4,1.7,3.2,0.6,0.3,0.3,0.7,2.1,5.7
PF,15.1,0.413,0.39799999999999996,0.42100000000000004,0.782,1.0,2.7,3.7,0.8,0.3,0.3,0.7,1.8,4.4
SF,7.2,0.083,0.14300000000000002,0.0,0.0,0.2,0.2,0.3,0.2,0.3,0.2,0.7,0.3,0.5
C,25.6,0.589,0.0,0.589,0.5870000000000001,1.9,5.2,7.1,1.5,0.9,1.1,1.4,3.1,9.3
SG,28.7,0.43200000000000005,0.345,0.47600000000000003,0.8059999999999999,0.7,5.1,5.8,2.5,0.9,0.5,1.7,1.8,14.4
PG,11.6,0.377,0.35700000000000004,0.385,0.8,0.2,1.0,1.1,1.5,0.3,0.2,0.6,0.7,3.3
SG,8.8,0.36700000000000005,0.302,0.486,0.857,0.1,1.0,1.0,0.4,0.4,0.1,0.3,0.8,2.7
PF,17.7,0.6729999999999999,0.0,0.6729999999999999,0.542,1.2,2.4,3.6,0.5,0.4,1.3,0.8,1.8,6.9
C,12.5,0.516,0.0,0.519,0.447,1.1,2.7,3.8,0.7,0.4,0.4,0.7,1.3,5.9
PG,22.5,0.41,0.309,0.461,0.8320000000000001,0.4,2.2,2.6,3.8,1.4,0.2,1.8,3.0,10.3
SF,10.7,0.42700000000000005,0.316,0.49200000000000005,0.633,0.4,1.7,2.1,0.2,0.3,0.1,0.5,1.6,3.7
PG,13.3,0.35200000000000004,0.1,0.409,0.5760000000000001,0.3,1.1,1.4,1.8,0.3,0.0,0.6,1.7,4.8
SF,27.8,0.441,0.35700000000000004,0.502,0.815,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,11.6
C,25.4,0.516,0.0,0.52,0.642,2.5,5.2,7.7,2.8,0.8,1.0,1.9,3.1,9.1
PG,28.5,0.439,0.4,0.45399999999999996,0.8370000000000001,0.4,2.3,2.7,5.9,1.2,0.3,2.8,2.1,15.7
PF,33.5,0.467,0.365,0.508,0.795,0.9,6.5,7.4,2.4,0.7,0.6,1.5,1.9,19.1
SF,21.2,0.457,0.28600000000000003,0.47600000000000003,0.7120000000000001,1.3,4.0,5.3,1.5,1.3,0.6,0.9,2.1,5.8
PF,19.2,0.544,0.0,0.5489999999999999,0.578,0.9,3.6,4.5,1.7,0.9,0.5,1.3,2.7,9.2
PG,35.2,0.45399999999999996,0.365,0.479,0.58,1.1,5.0,6.0,11.7,2.0,0.1,3.9,2.4,11.9
SG,14.3,0.305,0.293,0.319,0.8,0.2,1.1,1.3,0.6,0.4,0.2,0.4,1.0,3.1
SF,22.9,0.409,0.36700000000000005,0.474,0.75,0.4,2.3,2.7,1.0,0.8,0.5,1.1,2.2,11.8
PG,28.2,0.439,0.336,0.478,0.843,0.4,2.6,3.0,6.0,1.4,0.3,2.6,2.3,16.8
PG,7.6,0.32,0.125,0.41200000000000003,0.75,0.0,0.9,0.9,1.4,0.4,0.1,1.1,0.5,2.5
C,11.0,0.41,0.0,0.414,0.826,0.6,2.0,2.6,1.0,0.2,0.8,0.9,1.4,3.9
SG,14.8,0.504,0.38299999999999995,0.5329999999999999,0.75,0.3,1.5,1.7,1.1,0.4,0.1,1.0,1.9,6.0
PG,28.7,0.434,0.4,0.47200000000000003,0.682,1.0,2.5,3.5,3.4,1.3,0.4,1.3,3.3,9.9
PF,29.6,0.475,0.231,0.48200000000000004,0.7959999999999999,2.6,5.1,7.8,2.1,0.6,0.2,1.5,2.1,15.3
SG,16.8,0.38799999999999996,0.349,0.425,0.833,0.5,1.9,2.4,0.9,0.6,0.3,0.6,1.7,6.6
PG,37.0,0.42700000000000005,0.38799999999999996,0.461,0.8109999999999999,0.7,4.0,4.7,6.4,2.1,0.4,2.9,2.7,21.2
SG,24.8,0.385,0.326,0.473,0.7709999999999999,0.3,2.2,2.5,1.9,0.6,0.3,1.3,1.6,8.5
PG,20.7,0.41100000000000003,0.39899999999999997,0.42100000000000004,0.848,0.4,1.9,2.3,2.6,1.1,0.1,1.0,2.1,8.7
SF,20.8,0.40399999999999997,0.33299999999999996,0.51,0.652,0.5,2.6,3.1,0.6,1.1,0.7,0.7,2.2,6.9
C,17.4,0.565,0.14300000000000002,0.574,0.716,1.4,3.0,4.4,0.4,0.3,0.8,0.9,2.1,6.3
SG,8.8,0.441,0.35700000000000004,0.5,0.8240000000000001,0.2,0.8,1.0,1.0,0.3,0.2,0.7,0.9,3.6
PG,9.0,0.2,0.25,0.16699999999999998,0.75,0.2,0.6,0.8,0.8,0.0,0.0,0.2,0.4,1.6
SF,29.3,0.541,0.429,0.556,0.69,1.7,4.7,6.4,1.3,0.4,0.4,1.1,1.3,12.7
SG,32.1,0.469,0.354,0.5429999999999999,0.82,0.7,2.2,2.9,1.9,1.3,0.2,1.3,1.9,12.3
SG,13.6,0.408,0.387,0.442,0.7440000000000001,0.1,0.8,0.9,0.4,0.3,0.1,0.3,0.9,5.6
SG,14.7,0.42700000000000005,0.414,0.447,0.643,0.3,2.2,2.5,0.8,0.3,0.3,0.5,0.8,4.2
PF,31.5,0.419,0.36,0.467,0.8220000000000001,1.9,8.0,9.9,2.4,0.8,0.5,1.8,2.1,16.0
SG,8.7,0.282,0.083,0.37,0.722,0.3,1.5,1.8,1.0,0.4,0.2,0.5,1.7,1.8
SG,30.0,0.435,0.39799999999999996,0.502,0.833,0.2,3.1,3.3,2.1,0.8,0.4,1.2,2.0,9.2
C,9.4,0.5,0.308,0.5660000000000001,0.795,0.6,1.3,2.0,0.6,0.2,0.5,0.5,1.2,3.3
SG,36.7,0.42,0.309,0.489,0.8109999999999999,0.9,2.8,3.7,1.8,1.4,0.2,1.4,2.2,14.5
PG,20.3,0.473,0.324,0.507,0.7559999999999999,0.3,2.2,2.5,2.9,0.6,0.1,1.4,1.2,9.9
PG,29.4,0.436,0.326,0.451,0.589,1.1,2.5,3.6,6.4,1.2,0.3,2.4,2.2,10.7
PG,26.6,0.368,0.299,0.429,0.857,0.5,2.5,2.9,4.9,0.6,0.1,1.7,2.6,7.7
C,25.2,0.613,0.0,0.613,0.5820000000000001,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8.0
SF,20.5,0.465,0.289,0.516,0.764,1.2,2.0,3.3,0.6,0.3,0.1,0.9,1.1,10.5
C,22.8,0.498,0.214,0.506,0.727,1.1,4.4,5.5,0.7,0.4,1.4,1.1,2.6,10.3
PG,32.7,0.462,0.371,0.501,0.8959999999999999,0.5,3.7,4.2,10.0,2.1,0.2,2.6,2.5,19.5
PF,3.6,0.478,0.0,0.579,0.4,0.2,0.7,0.9,0.2,0.1,0.1,0.4,0.5,1.3
C,6.9,0.509,0.441,0.609,0.75,0.1,0.8,0.9,0.3,0.2,0.0,0.1,0.5,2.5
PF,30.4,0.42700000000000005,0.366,0.466,0.873,2.0,4.0,6.0,1.1,0.6,0.4,1.4,1.7,17.0
SG,30.7,0.415,0.4,0.43799999999999994,0.634,0.6,2.3,2.8,1.7,1.1,0.3,0.8,2.6,12.4
SG,11.3,0.35,0.245,0.516,0.727,0.1,1.3,1.4,1.1,0.3,0.1,0.7,1.3,2.4
SG,6.9,0.306,0.231,0.5,0.25,0.1,0.8,0.9,0.3,0.2,0.0,0.2,0.6,1.0
PF,10.7,0.563,0.0,0.563,0.41200000000000003,0.7,1.7,2.3,0.3,0.2,0.1,0.4,1.6,2.4
PG,4.7,0.385,0.2,0.5,1.0,0.3,0.3,0.7,0.3,0.1,0.0,0.0,0.4,1.4
PF,21.9,0.44799999999999995,0.377,0.527,0.7609999999999999,0.8,4.3,5.1,1.5,0.1,0.3,1.3,3.0,8.4
PF,13.8,0.514,0.182,0.596,0.6890000000000001,1.2,1.4,2.6,0.6,0.4,0.8,0.6,1.8,5.6
PF,14.4,0.493,0.125,0.514,0.7390000000000001,1.2,2.7,4.0,0.6,0.5,0.3,0.6,1.7,5.8
SF,30.3,0.473,0.36700000000000005,0.536,0.754,1.3,3.9,5.2,1.6,1.4,0.4,0.9,2.2,11.6
PF,28.2,0.429,0.278,0.436,0.715,2.1,8.1,10.2,1.8,0.7,0.4,1.8,3.0,11.3
PG,29.1,0.41100000000000003,0.32899999999999996,0.428,0.693,0.6,3.4,4.0,6.5,1.1,0.3,2.3,1.7,12.6
SG,34.8,0.44799999999999995,0.41700000000000004,0.46299999999999997,0.8270000000000001,0.6,2.7,3.2,4.3,1.2,0.3,2.5,2.3,20.8
C,6.3,0.522,0.0,0.545,1.0,0.2,1.1,1.3,0.3,0.0,0.2,0.4,1.1,1.8
SF,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,0.0,0.0
SF,35.8,0.505,0.387,0.569,0.898,0.6,7.6,8.2,5.0,1.0,1.2,3.5,1.9,28.2
SF,20.3,0.37200000000000005,0.361,0.38,0.909,0.3,2.8,3.1,1.0,0.3,0.3,0.8,1.6,5.3
SF,35.0,0.426,0.348,0.49200000000000005,0.8490000000000001,0.8,5.3,6.1,5.8,0.9,0.6,2.9,1.6,14.9
C,9.4,0.603,0.0,0.603,0.763,1.4,2.2,3.6,0.4,0.2,0.4,0.5,1.0,5.5
PF,35.5,0.493,0.324,0.511,0.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,24.3
PG,9.2,0.44799999999999995,0.35700000000000004,0.48,0.894,0.1,0.7,0.8,1.1,0.2,0.0,0.5,0.7,4.0
PG,35.3,0.506,0.257,0.537,0.7240000000000001,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9
SG,11.2,0.444,0.314,0.505,0.833,0.2,1.1,1.3,0.8,0.2,0.0,0.6,0.5,4.1
PF,22.8,0.585,0.233,0.624,0.57,2.3,4.1,6.4,1.7,0.7,1.1,1.2,2.7,7.3
SF,33.4,0.439,0.38299999999999995,0.47100000000000003,0.831,0.6,3.0,3.6,3.9,0.8,0.0,2.0,1.8,12.2
PF,11.0,0.41700000000000004,0.667,0.16699999999999998,0.0,0.4,1.6,2.0,0.0,0.2,0.4,0.6,0.6,2.8
PF,22.3,0.442,0.40399999999999997,0.45799999999999996,0.857,0.6,1.6,2.2,0.9,0.4,0.1,1.0,1.8,8.2
SG,27.7,0.423,0.34299999999999997,0.46399999999999997,0.84,0.4,2.1,2.5,2.6,0.6,0.3,2.1,3.0,13.8
PG,8.9,0.436,0.455,0.429,0.75,0.2,0.7,0.9,1.1,0.1,0.0,0.7,0.8,4.5
PF,31.7,0.493,0.257,0.502,0.768,1.6,3.6,5.2,1.7,0.9,0.4,1.5,2.0,14.1
PG,6.3,0.45,0.111,0.727,0.75,0.1,0.1,0.3,0.5,0.8,0.3,0.9,0.5,2.8
PG,30.6,0.374,0.326,0.396,0.847,0.5,3.8,4.3,8.7,2.1,0.1,2.5,2.6,10.1
PG,13.3,0.364,0.327,0.391,0.6920000000000001,0.1,0.9,0.9,2.4,0.5,0.1,1.4,1.0,3.7
SF,22.4,0.518,0.28300000000000003,0.59,0.667,0.8,2.5,3.4,1.0,0.9,0.2,0.8,2.3,4.5
PG,34.1,0.441,0.408,0.466,0.76,0.8,3.2,4.0,3.5,1.1,0.2,1.4,2.0,12.1
C,7.0,0.465,0.25,0.48700000000000004,1.0,0.4,1.1,1.5,0.7,0.1,0.1,0.5,0.9,2.8
PG,12.3,0.385,0.222,0.433,0.52,0.1,1.2,1.3,3.3,0.8,0.2,1.4,1.2,3.3
PF,14.6,0.47,0.0,0.474,0.667,0.4,3.6,3.9,1.6,0.7,0.3,0.4,1.8,3.2
PG,17.0,0.38799999999999996,0.344,0.461,0.8,0.2,1.4,1.5,3.4,0.4,0.1,1.4,1.2,4.4
PG,30.0,0.486,0.401,0.519,0.858,0.4,1.9,2.3,4.3,1.0,0.1,1.8,1.9,14.0
SG,28.0,0.48,0.475,0.484,0.888,0.1,1.7,1.9,1.4,0.6,0.1,1.0,1.8,16.3
PF,4.4,0.29600000000000004,0.214,0.385,0.9,0.3,0.9,1.2,0.0,0.3,0.0,0.2,0.4,1.5
PF,6.8,0.41700000000000004,0.0,0.41700000000000004,0.643,1.4,2.4,3.8,0.5,0.4,0.5,0.6,1.5,2.9
PF,25.5,0.425,0.303,0.45799999999999996,0.735,1.1,4.4,5.5,1.9,0.9,0.5,2.1,2.9,12.0
C,27.1,0.539,0.0,0.54,0.795,3.3,4.1,7.3,1.4,0.2,1.6,1.6,2.2,10.3
SG,15.8,0.39399999999999996,0.314,0.44299999999999995,0.755,0.4,1.6,2.0,1.5,0.6,0.2,0.9,1.5,5.9
SF,36.2,0.433,0.349,0.47700000000000004,0.8240000000000001,0.8,4.2,5.0,3.7,1.2,0.3,2.5,2.3,19.7
SF,30.9,0.466,0.38299999999999995,0.508,0.7609999999999999,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,11.7
PG,32.2,0.428,0.359,0.462,0.871,0.6,2.4,3.0,6.2,1.1,0.1,2.7,2.0,22.2
SG,31.1,0.449,0.387,0.48100000000000004,0.767,0.7,2.7,3.4,2.9,1.0,0.2,2.0,2.1,17.4
SG,30.5,0.456,0.159,0.46799999999999997,0.7929999999999999,1.1,3.0,4.1,4.6,1.1,0.6,2.7,1.6,19.0
PG,20.3,0.439,0.312,0.493,0.738,0.3,2.2,2.5,3.6,0.7,0.1,1.8,1.4,8.6
SG,22.6,0.392,0.32299999999999995,0.446,0.7829999999999999,0.4,2.0,2.4,0.8,0.6,0.3,0.7,1.8,8.9
SF,15.0,0.478,0.44799999999999995,0.509,0.735,1.0,1.0,1.9,1.0,0.7,0.2,0.9,1.3,7.2
PF,32.0,0.515,0.0,0.518,0.7090000000000001,2.7,5.4,8.1,1.5,1.2,1.5,1.7,2.4,16.4
SF,18.0,0.42200000000000004,0.40399999999999997,0.433,0.78,0.5,2.6,3.1,1.1,0.2,0.1,0.5,1.9,7.0
SF,18.7,0.474,0.27899999999999997,0.5760000000000001,0.622,1.3,2.3,3.6,0.9,0.6,0.4,0.8,1.6,6.4
SF,28.2,0.43,0.315,0.47,0.745,0.9,3.2,4.2,1.7,0.7,0.5,1.2,2.1,11.7
PF,17.3,0.43799999999999994,0.38299999999999995,0.461,0.695,0.7,3.0,3.7,0.7,0.3,0.2,0.8,1.4,6.1
SG,33.9,0.38799999999999996,0.36,0.43200000000000005,0.863,0.3,2.7,3.1,1.9,1.0,0.2,1.0,2.3,12.5
SF,8.4,0.40299999999999997,0.34,0.667,1.0,0.2,0.5,0.6,0.3,0.1,0.0,0.4,1.0,2.3
PF,18.5,0.465,0.33299999999999996,0.478,0.752,1.8,3.0,4.8,0.9,0.6,0.4,1.1,2.4,7.4
PG,32.4,0.414,0.344,0.45399999999999996,0.8690000000000001,0.3,2.6,2.9,5.8,0.9,0.2,2.3,2.4,14.1
PG,20.0,0.326,0.247,0.415,0.846,0.2,1.8,2.0,4.0,0.4,0.0,1.7,1.8,5.7
C,19.1,0.5820000000000001,0.0,0.583,0.379,2.5,3.9,6.4,0.6,0.8,1.2,0.8,2.5,7.0
SF,26.8,0.419,0.24,0.47700000000000004,0.6579999999999999,1.3,3.4,4.7,1.8,0.7,1.6,1.4,2.8,9.7
SG,14.3,0.35,0.444,0.273,1.0,0.3,1.3,1.7,1.0,0.0,0.0,0.3,0.7,7.3
C,19.0,0.532,0.0,0.532,0.5479999999999999,2.2,3.3,5.4,0.4,0.5,0.9,0.6,2.4,6.8
PF,20.8,0.611,0.0,0.611,0.5589999999999999,2.8,4.6,7.4,1.1,0.7,0.9,0.8,2.5,6.5
PF,18.2,0.527,0.36200000000000004,0.564,0.737,0.8,2.3,3.1,2.3,0.3,0.3,1.3,1.3,6.4
PF,13.0,0.41100000000000003,1.0,0.409,0.675,1.0,1.7,2.7,0.5,0.3,0.1,0.5,1.5,3.0
SG,26.9,0.40399999999999997,0.34,0.44,0.904,0.3,1.6,1.8,2.3,0.7,0.2,1.4,1.5,14.2
C,2.6,0.6,0.0,0.6,0.5,0.1,0.4,0.6,0.1,0.1,0.0,0.0,0.1,1.0
PG,21.3,0.413,0.344,0.46,0.8170000000000001,0.3,1.5,1.8,2.3,0.5,0.1,1.3,1.3,10.6
SG,4.4,0.263,0.3,0.222,0.41700000000000004,0.2,0.5,0.7,0.1,0.3,0.0,0.2,0.5,0.9
C,12.4,0.62,0.0,0.62,0.619,1.3,1.4,2.6,0.3,0.2,0.6,0.6,1.7,3.4
PF,9.3,0.366,0.281,0.389,0.654,0.4,1.8,2.1,0.6,0.3,0.2,0.7,1.5,2.5
PG,19.5,0.384,0.34700000000000003,0.45299999999999996,0.7559999999999999,0.4,1.2,1.6,2.4,1.2,0.2,1.1,2.6,5.3
C,17.1,0.41700000000000004,0.0,0.423,0.616,2.0,3.4,5.5,1.3,0.8,1.4,1.7,2.8,8.2
C,15.5,0.485,0.25,0.493,0.8059999999999999,0.7,2.2,2.9,0.8,0.4,0.9,0.8,2.1,7.2
SF,15.3,0.426,0.386,0.531,0.722,0.2,1.6,1.9,1.2,0.7,0.0,0.8,1.2,4.2
PF,28.4,0.42100000000000004,0.33299999999999996,0.45399999999999996,0.838,1.8,5.5,7.3,1.3,0.7,1.9,1.7,2.8,14.3
SG,14.8,0.424,0.40399999999999997,0.436,0.8109999999999999,0.3,1.9,2.3,1.0,0.6,0.2,0.7,1.2,5.6
PG,20.3,0.42100000000000004,0.322,0.465,0.7909999999999999,0.3,2.2,2.6,4.4,0.9,0.1,2.3,1.7,11.0
C,14.6,0.5329999999999999,0.0,0.5329999999999999,0.44,0.7,2.8,3.5,0.8,0.3,0.3,1.1,1.7,2.5
PG,20.0,0.447,0.32899999999999996,0.532,0.721,0.3,1.9,2.2,1.8,0.9,0.2,1.0,1.9,7.6
PG,32.8,0.47700000000000004,0.312,0.527,0.727,0.8,3.1,3.8,5.8,1.0,0.2,2.6,2.6,14.1
PG,27.5,0.493,0.415,0.501,0.76,0.2,2.2,2.4,5.3,0.8,0.2,1.8,1.6,11.9
PG,35.7,0.419,0.375,0.45,0.892,0.6,3.4,4.0,6.8,0.9,0.4,3.2,2.2,25.1
PF,34.7,0.49,0.38799999999999996,0.537,0.696,1.7,7.8,9.5,7.4,1.5,1.4,3.2,3.0,14.0
PF,7.0,0.4,0.444,0.0,0.5,0.0,0.2,0.2,0.0,0.2,0.0,0.4,0.6,2.6
SF,12.2,0.371,0.273,0.474,0.81,0.4,1.5,1.9,0.6,0.5,0.3,0.6,1.4,2.9
PG,30.4,0.364,0.319,0.379,0.67,0.5,2.9,3.4,5.5,1.0,0.5,3.2,2.1,12.8
PG,4.9,0.4,0.0,0.5710000000000001,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.6,0.3,1.0
SG,19.9,0.439,0.353,0.46799999999999997,0.767,0.4,2.5,2.9,1.0,0.5,0.3,0.9,1.2,8.7
SG,35.9,0.446,0.33799999999999997,0.45799999999999996,0.85,0.8,3.7,4.5,4.0,1.0,0.3,2.2,2.1,23.5
PF,33.0,0.514,0.233,0.523,0.644,2.4,6.6,9.0,1.8,1.5,0.5,1.9,2.5,15.1
C,31.8,0.469,0.348,0.478,0.792,2.2,8.9,11.0,4.1,0.6,2.0,2.3,2.1,16.5
PG,18.1,0.368,0.32899999999999996,0.409,0.731,0.3,1.7,2.0,3.5,0.6,0.1,1.2,1.2,6.9
SF,23.0,0.452,0.425,0.47,0.857,0.5,2.0,2.4,0.7,0.2,0.1,0.7,1.6,9.4
SG,32.3,0.433,0.34700000000000003,0.46799999999999997,0.804,1.2,2.8,4.0,2.4,1.1,0.1,1.7,2.1,15.5
PF,15.8,0.556,0.462,0.561,0.736,1.4,2.7,4.1,0.9,0.3,0.3,0.6,1.9,9.8
SG,21.9,0.43799999999999994,0.335,0.495,0.6809999999999999,0.3,1.6,1.9,1.5,0.7,0.1,0.9,2.0,8.9
PF,15.8,0.41,0.315,0.465,0.7979999999999999,1.1,3.0,4.1,0.7,0.3,0.4,0.7,1.8,6.5
SF,33.1,0.506,0.44299999999999995,0.528,0.8740000000000001,1.3,5.5,6.8,2.6,1.8,1.0,1.5,1.8,21.2
PF,4.4,0.444,0.467,0.33299999999999996,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.1,0.3,2.4
PF,9.7,0.644,0.0,0.652,0.522,0.6,1.0,1.7,0.4,0.3,0.3,0.4,1.2,3.6
C,29.3,0.522,0.0,0.522,0.74,2.8,6.1,8.8,2.3,0.9,0.8,1.6,2.1,15.3
PG,30.7,0.434,0.353,0.46399999999999997,0.8640000000000001,0.7,2.5,3.2,6.2,0.7,0.1,2.8,2.4,18.8
